symbol,name,sector,source_etfs
CVCO,CAVCO INDUSTRIES INC,Consumer Discretionary,IJR
PI,IMPINJ INC,Information Technology,IJR
RDN,RADIAN GROUP INC,Financials,IJR
ADT,ADT INC,Consumer Discretionary,IJR
INDB,INDEPENDENT BANK CORP,Financials,IJR
ITRI,ITRON INC,Information Technology,IJR
WHD,CACTUS INC CLASS A,Energy,IJR
FELE,FRANKLIN ELECTRIC INC,Industrials,IJR
STEP,STEPSTONE GROUP INC CLASS A,Financials,IJR
MTRN,MATERION CORP,Materials,IJR
WSFS,WSFS FINANCIAL CORP,Financials,IJR
SPHR,SPHERE ENTERTAINMENT CLASS A,Communication,IJR
MC,MOELIS CLASS A,Financials,IJR
URBN,URBAN OUTFITTERS INC,Consumer Discretionary,IJR
KTB,KONTOOR BRANDS INC,Consumer Discretionary,IJR
BNL,BROADSTONE NET LEASE INC,Real Estate,IJR
OII,OCEANEERING INTERNATIONAL INC,Energy,IJR
CATY,CATHAY GENERAL BANCORP,Financials,IJR
OTTR,OTTER TAIL CORP,Utilities,IJR
VCTR,VICTORY CAPITAL HOLDINGS CLASS A I,Financials,IJR
FBP,FIRST BANCORP,Financials,IJR
RNST,RENASANT CORP,Financials,IJR
PJT,PJT PARTNERS INC CLASS A,Financials,IJR
UNF,UNIFIRST CORP,Industrials,IJR
ASO,ACADEMY SPORTS AND OUTDOORS INC,Consumer Discretionary,IJR
HCC,WARRIOR MET COAL INC,Materials,IJR
SIG,SIGNET JEWELERS LTD,Consumer Discretionary,IJR
AAP,ADVANCE AUTO PARTS INC,Consumer Discretionary,IJR
GFF,GRIFFON CORP,Industrials,IJR
VSH,VISHAY INTERTECHNOLOGY INC,Information Technology,IJR
BRC,BRADY NONVOTING CORP CLASS A,Industrials,IJR
BMI,BADGER METER INC,Information Technology,IJR
UCTT,ULTRA CLEAN HOLDINGS INC,Information Technology,IJR
AGO,ASSURED GUARANTY LTD,Financials,IJR
HWKN,HAWKINS INC,Materials,IJR
KFY,KORN FERRY,Industrials,IJR
BOX,BOX INC CLASS A,Information Technology,IJR
CALM,CAL MAINE FOODS INC,Consumer Staples,IJR
KAI,KADANT INC,Industrials,IJR
OGN,ORGANON,Health Care,IJR
TMDX,TRANSMEDICS GROUP INC,Health Care,IJR
MHO,M I HOMES INC,Consumer Discretionary,IJR
CWEN,CLEARWAY ENERGY INC CLASS C,Utilities,IJR
LIF,LIFE360 INC,Information Technology,IJR
ADEA,ADEIA INC,Information Technology,IJR
AVA,AVISTA CORP,Utilities,IJR
INSW,INTERNATIONAL SEAWAYS INC,Energy,IJR
OPLN,OPENLANE INC,Industrials,IJR
FHB,FIRST HAWAIIAN INC,Financials,IJR
CBU,COMMUNITY FINANCIAL SYSTEM INC,Financials,IJR
BKU,BANKUNITED INC,Financials,IJR
SXI,STANDEX INTERNATIONAL CORP,Industrials,IJR
FUL,HB FULLER,Materials,IJR
FRPT,FRESHPET INC,Consumer Staples,IJR
GNW,GENWORTH FINANCIAL INC,Financials,IJR
NATL,NCR ATLEOS CORP,Financials,IJR
SKYW,SKYWEST INC,Industrials,IJR
CRGY,CRESCENT ENERGY CLASS A,Energy,IJR
RXO,RXO INC,Industrials,IJR
RDNT,RADNET INC,Health Care,IJR
BTU,PEABODY ENERGY CORP,Energy,IJR
CPRX,CATALYST PHARMACEUTICALS INC,Health Care,IJR
CLSK,CLEANSPARK INC,Information Technology,IJR
PLMR,PALOMAR HOLDINGS INC,Financials,IJR
CVBF,CVB FINANCIAL CORP,Financials,IJR
CENX,CENTURY ALUMINUM,Materials,IJR
QTWO,Q2 HOLDINGS INC,Information Technology,IJR
DORM,DORMAN PRODUCTS INC,Consumer Discretionary,IJR
FFBC,FIRST FINANCIAL BANCORP,Financials,IJR
FIBK,FIRST INTERSTATE BANCSYSTEM INC,Financials,IJR
ITGR,INTEGER HOLDINGS CORP,Health Care,IJR
PATK,PATRICK INDUSTRIES INC,Consumer Discretionary,IJR
BOH,BANK OF HAWAII CORP,Financials,IJR
SFNC,SIMMONS FIRST NATIONAL CORP CLASS,Financials,IJR
CNK,CINEMARK HOLDINGS INC,Communication,IJR
RNG,RINGCENTRAL INC CLASS A,Information Technology,IJR
SBCF,SEACOAST BANKING OF FLORIDA,Financials,IJR
UNFI,UNITED NATURAL FOODS INC,Consumer Staples,IJR
BXMT,BLACKSTONE MORTGAGE TRUST REIT CLA,Financials,IJR
SLG,SL GREEN REALTY REIT CORP,Real Estate,IJR
LXP,LXP INDUSTRIAL TRUST,Real Estate,IJR
VECO,VEECO INSTRUMENTS INC,Information Technology,IJR
CPK,CHESAPEAKE UTILITIES CORP,Utilities,IJR
HAYW,HAYWARD HOLDINGS INC,Industrials,IJR
RUN,SUNRUN INC,Industrials,IJR
APLE,APPLE HOSPITALITY REIT INC,Real Estate,IJR
CARG,CARGURUS INC CLASS A,Communication,IJR
ICUI,ICU MEDICAL INC,Health Care,IJR
KMT,KENNAMETAL INC,Industrials,IJR
NMIH,NMI HOLDINGS INC,Financials,IJR
BCC,BOISE CASCADE,Industrials,IJR
MGEE,MGE ENERGY INC,Utilities,IJR
AWR,AMERICAN STATES WATER,Utilities,IJR
BHE,BENCHMARK ELECTRONICS INC,Information Technology,IJR
PLAB,PHOTRONICS INC,Information Technology,IJR
IAC,IAC INC,Communication,IJR
LCII,LCI INDUSTRIES,Consumer Discretionary,IJR
COCO,THE VITA COCO COMPANY INC,Consumer Staples,IJR
CAKE,CHEESECAKE FACTORY INC,Consumer Discretionary,IJR
PRVA,PRIVIA HEALTH GROUP INC,Health Care,IJR
ARCB,ARCBEST CORP,Industrials,IJR
NOG,NORTHERN OIL AND GAS INC,Energy,IJR
AKR,ACADIA REALTY TRUST REIT,Real Estate,IJR
WDFC,WD-40,Consumer Staples,IJR
ACAD,ACADIA PHARMACEUTICALS INC,Health Care,IJR
CHEF,CHEFS WAREHOUSE INC,Consumer Staples,IJR
FCPT,FOUR CORNERS PROPERTY INC TRUST,Real Estate,IJR
PFS,PROVIDENT FINANCIAL SERVICES INC,Financials,IJR
PRK,PARK NATIONAL CORP,Financials,IJR
UE,URBAN EDGE PROPERTIES,Real Estate,IJR
ACMR,ACM RESEARCH CLASS A INC,Information Technology,IJR
SUPN,SUPERNUS PHARMACEUTICALS INC,Health Care,IJR
AEO,AMERICAN EAGLE OUTFITTERS INC,Consumer Discretionary,IJR
NGVT,INGEVITY CORP,Materials,IJR
KALU,KAISER ALUMINIUM CORP,Materials,IJR
PHIN,PHINIA INC,Consumer Discretionary,IJR
SHOO,STEVEN MADDEN LTD,Consumer Discretionary,IJR
DBD,DIEBOLD NIXDORF INC,Information Technology,IJR
CON,CONCENTRA GROUP HOLDINGS PARENT IN,Health Care,IJR
CURB,CURBLINE PROPERTIES,Real Estate,IJR
HIW,HIGHWOODS PROPERTIES REIT INC,Real Estate,IJR
GOLF,ACUSHNET HOLDINGS CORP,Consumer Discretionary,IJR
PBH,PRESTIGE CONSUMER HEALTHCARE INC,Health Care,IJR
HUBG,HUB GROUP INC CLASS A,Industrials,IJR
KN,KNOWLES CORP,Information Technology,IJR
RHI,ROBERT HALF,Industrials,IJR
ANDE,ANDERSONS INC,Consumer Staples,IJR
APAM,ARTISAN PARTNERS ASSET MANAGEMENT,Financials,IJR
CALX,CALIX NETWORKS INC,Information Technology,IJR
RRR,RED ROCK RESORTS ORS CLASS A INC,Consumer Discretionary,IJR
TRMK,TRUSTMARK CORP,Financials,IJR
TRN,TRINITY INDUSTRIES INC,Industrials,IJR
WAFD,WAFD INC,Financials,IJR
VCYT,VERACYTE INC,Health Care,IJR
HE,HAWAIIAN ELECTRIC INDUSTRIES INC,Utilities,IJR
MCY,MERCURY GENERAL CORP,Financials,IJR
JOE,ST JOE,Real Estate,IJR
SEDG,SOLAREDGE TECHNOLOGIES INC,Information Technology,IJR
HNI,HNI CORP,Industrials,IJR
PARR,PAR PACIFIC HOLDINGS INC,Energy,IJR
WU,WESTERN UNION,Financials,IJR
GEO,GEO GROUP INC,Industrials,IJR
TBBK,BANCORP INC,Financials,IJR
CWT,CALIFORNIA WATER SERVICE GROUP,Utilities,IJR
BANC,BANC OF CALIFORNIA INC,Financials,IJR
DNOW,DNOW INC,Industrials,IJR
VGNT,VERSIGENT PLC,Consumer Discretionary,IJR
TDC,TERADATA CORP,Information Technology,IJR
WAY,WAYSTAR HOLDING CORP,Health Care,IJR
ADMA,ADMA BIOLOGICS INC,Health Care,IJR
